Id2,Aggregate travel time to work (in minutes),Less than 10 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 44 minutes,45 to 59 minutes,60 or more minutes
250173223001,26175,430,850,3360,2940,1225,3450,1760,6430,5730
250173223002,45490,1470,2330,5010,7080,2525,5970,2160,7850,11095
250173224001,25895,510,1665,1075,2720,1275,4410,2765,3205,8270
250173224003,18780,440,-,915,1260,1575,3660,3010,3585,4335
250173231001,32180,525,940,1515,2100,1625,3060,3325,13275,5815
250173231004,41715,795,1650,2400,1480,3475,3360,7365,7910,13280
250173241011,31825,240,660,1380,2240,-,4350,3175,4555,15225
250173241013,26410,420,1340,1035,1835,2250,3300,3570,3020,9640
250173241022,36995,510,1490,2500,2680,975,5400,5110,8440,9890
250173251001,53210,-,710,5090,1540,-,5550,8625,17065,14630
250173261012,52940,720,890,2040,3130,3650,5280,7675,11060,18495
250173271011,42165,395,430,1175,2140,1425,2130,8000,5780,20685
250173271023,33805,375,1010,1515,1420,1225,3780,1975,6455,16050
250173281001,38025,425,1345,2300,3840,2075,3600,4575,7385,12480
250173281002,17725,-,195,600,2020,1620,2190,3635,2175,5295
250173302001,45025,260,460,2255,4640,1250,2970,2770,10530,19890
250173302004,20375,800,-,2510,1920,-,3150,2400,1990,7605
250173311011,24425,445,670,615,3320,2400,3000,2680,6365,4935
250173311012,28780,290,1280,2295,3580,1800,6360,3540,3845,5790
250173311023,41875,855,2990,2535,1320,2400,8160,1595,3775,18240
250173312001,48700,735,1400,3755,7060,1435,4650,6075,8105,15485
250173312002,47650,515,1310,1580,5940,4850,5010,7965,8415,12070
250173313003,44455,325,670,1275,3440,-,5910,2920,10905,19010
250173322001,46020,985,3540,4425,3760,1600,9540,3170,13125,5880
250173324001,28720,1345,1030,2300,1980,1025,3690,4525,4635,8195
250173324002,17870,530,990,1280,2020,575,2790,2145,4285,3255
250173331005,29970,640,1870,2670,1480,1100,5100,2730,3990,10390
250173332001,19980,1215,830,3690,1460,1025,3060,2265,2835,3600
250173332004,20040,160,1110,1620,1920,-,3060,4820,4680,2670
250173335012,32390,825,2370,1470,5720,1200,5705,2335,2975,9795
250173335013,29980,1015,2160,2625,2080,1225,3660,1000,3645,12570
250173335021,16605,745,825,2070,860,1125,3060,4000,1610,2310
250173335022,20610,875,2600,1395,3800,1750,4410,910,2080,2790
250173341003,58750,345,1810,2040,5200,3995,6780,5455,12990,20130
250173342002,13920,230,1040,750,1160,575,870,915,3190,5190
250173343001,28295,600,820,1830,1680,3225,4620,3480,4370,7670
250173352004,30300,360,575,1410,2900,1850,4680,2835,2395,13295
250173353011,34025,205,1910,2460,2660,1250,3870,2350,6980,12345
250173353012,28360,265,730,1680,2440,1875,4020,2610,3595,11145
250173353022,52805,925,2085,3715,2600,875,7110,4600,12055,18845
250173354001,10005,445,-,435,500,-,1200,885,3540,3000
250173354002,36440,315,830,2030,4480,1225,4860,6610,6030,10060
250173361003,24125,285,1310,1125,4060,1750,2430,1840,5310,6015
250173371011,23680,665,550,1905,2600,1200,2670,3145,6020,4920
250173371023,34460,710,1490,4250,3105,3875,6420,1180,2855,10580
250173372011,25400,260,820,2175,2300,2325,3090,3240,3340,7850
250173373003,18695,225,-,1110,2160,-,1440,3405,5575,4780
250173373004,33590,320,2150,1590,2860,1700,6720,5125,6255,6870
250173381002,30120,475,540,1185,2440,1700,6870,2160,6670,8080
250173382001,51490,375,1210,2035,3630,2265,4680,8315,11200,17775
250173384001,30110,220,270,1605,1180,1975,3900,3255,6045,11660
250173384004,20595,170,830,405,2300,2050,5790,1405,3450,4200
250173385002,27470,530,865,1620,1780,2550,3240,5695,6000,5190
250173391002,24475,-,760,1965,2380,1775,5520,2945,5080,4050
250173394003,19875,210,470,1665,1200,950,1560,2225,5275,6320
250173395001,44110,1520,2115,2760,1480,1700,7290,4255,9525,13465
250173397003,24955,300,150,1455,1060,-,6960,2270,1215,11545
250173398021,26320,100,620,840,1200,825,2400,3015,5475,11845
250173398022,36110,265,570,1740,2860,1300,6780,6640,11230,4730
250173415005,16900,160,550,480,960,475,2130,1260,1555,9330
250173422021,36905,555,860,1020,1600,1100,2640,7920,9820,11390
250173423003,31480,415,1470,1860,860,1975,11340,3420,2430,7710
250173426003,65160,1055,1420,1800,2500,2600,8250,7780,11000,28755
250173501031,-,-,-,-,-,-,-,-,-,-
250173501042,27990,-,1605,1935,3900,-,7020,4955,8575,-
250173503001,19105,200,420,765,1080,900,5070,3025,2350,5295
250173505001,10645,155,420,790,1080,1300,2280,1980,1365,1275
250173505002,19775,130,-,405,1020,2300,3240,4440,4640,3600
250173506004,27965,-,260,1620,2160,1275,5190,7485,8175,1800
250173507003,19130,320,530,1260,1140,925,5520,2400,2720,4315
250173509001,28265,225,820,1035,620,725,6720,6565,6390,5165
250173509002,25240,235,520,810,1720,1825,6660,5055,2520,5895
250173510004,62070,305,1810,870,3110,3225,11120,18680,13950,9000
250173511001,36610,-,850,1590,5000,2000,3480,2345,9825,11520
250173512031,22505,225,940,2200,2360,1075,2130,2660,3650,7260
250173512034,32150,495,1490,4005,2180,2400,4200,4755,2655,9965
250173512041,22505,375,1035,3705,1560,600,4470,2225,5245,3290
250173512042,29435,420,1100,2910,3500,2175,4410,6690,6330,1900
250173512043,19115,150,1295,795,2100,1125,3720,1510,6260,2160
250173513001,43115,230,1590,2055,6580,2300,11280,9695,3690,5695
250173514031,17630,215,530,990,1860,-,2610,2470,2445,6510
250173515002,34665,165,1520,2325,7180,2300,5010,4310,3600,8255
250173523001,36775,1020,1585,2895,5420,2025,8490,4370,5950,5020
250173523002,18525,1380,1140,1045,2060,950,2940,4220,2030,2760
250173524002,22530,330,790,1725,3120,2285,5730,3515,3060,1975
250173525001,17685,200,1250,2325,1060,-,5970,2060,-,4820
250173525002,32205,380,1375,1980,2880,2225,8900,7395,2520,4555
250173526001,27695,435,970,2270,2780,925,5700,2460,6655,5500
250173527003,6060,-,-,1470,740,-,1080,745,2025,-
250173528002,35120,110,1160,3055,3340,700,9990,6515,5740,4510
250173529002,30590,660,920,2880,4520,3900,6510,3830,4950,2415
250173530004,34560,160,665,2370,2185,4600,8850,9955,2835,2940
250173531011,18005,620,1115,1600,1180,2935,3300,3110,1380,2760
250173531012,15175,810,1520,2045,1400,1875,3030,3355,-,1140
250173532001,38605,1065,3080,8415,5820,5535,5950,4380,2125,2240
250173533001,19390,245,530,1995,1060,1500,7890,2870,-,3300
250173533002,29475,105,860,2875,3120,875,6360,2695,3670,8920
250173534002,27420,135,1085,1990,2460,1075,7290,4020,5820,3540
250173536004,13110,195,420,390,760,900,3300,2740,1675,2730
250173536005,15565,1195,2500,1830,840,1450,2730,980,1875,2170
250173537002,19195,430,570,570,870,1800,3630,3510,4325,3490
250173541003,20965,205,420,1350,1340,975,6570,2665,3510,3930
250173542001,15570,150,800,1455,2300,850,4560,1630,2340,1485
250173542002,15410,265,365,1405,740,1925,3120,-,2560,5030
250173544001,14740,275,220,685,1120,425,2370,1530,5250,2870
250173547001,18830,230,285,1395,1915,2375,3270,3585,2655,3120
250173548001,18425,165,370,870,2180,2625,1920,3925,3730,2640
250173548002,23495,405,570,1145,1775,2150,3530,4715,5120,4085
250173561002,24850,-,390,1950,2040,1475,6030,3830,4275,4860
250173565003,33565,460,2310,1155,1600,1975,3780,4470,9850,7965
250173566021,30475,285,465,1975,2480,1300,2550,3675,8140,9605
250173567027,14450,-,690,-,940,1425,3030,-,4255,4110
250173571004,11205,175,330,495,1360,1550,1260,1140,3285,1610
250173575002,10075,125,210,390,1020,500,3160,2245,1330,1095
250173575003,13235,145,430,240,1540,550,3570,1985,2875,1900
250173576002,21935,375,1080,740,1820,1725,5310,1815,6070,3000
250173578002,12185,270,620,645,1190,750,1500,2590,2520,2100
250173581002,22415,145,430,1255,1540,1075,3330,5420,3850,5370
250173581003,26080,440,1005,1100,1900,1550,3450,2305,6805,7525
250173583001,35455,470,1735,3585,4060,1350,7680,4150,7025,5400
250173584003,24540,715,785,2115,1740,2000,5550,1830,3675,6130
250173587001,28270,590,1280,1825,1560,775,3150,6210,5725,7155
250173587002,16695,480,440,1155,2880,800,2190,1135,4660,2955
250173587003,16905,155,600,1080,1400,1125,3420,1785,3510,3830
250173593004,41715,1415,1155,2200,5120,3025,6000,6530,7205,9060
250173601001,14655,1195,625,930,720,425,2965,2500,2355,2940
250173612001,29505,965,790,1095,1900,1875,3270,3685,6040,9885
250173612003,43815,595,1240,1420,760,2785,4170,3860,8260,20725
250173621002,35450,190,990,885,2845,770,5370,6410,6365,11630
250173631022,40160,755,1110,1830,4060,1275,4020,3165,5775,18170
250173631031,31455,455,1575,645,1940,1525,3960,6295,7420,7635
250173631032,19165,360,380,495,820,775,1260,2050,6210,6815
250173631041,47650,765,1010,1110,3110,1900,4440,10645,12425,12245
250173641011,37130,455,1520,1545,4240,2800,6420,5830,6460,7860
250173641013,29155,615,880,2160,1120,1750,3450,5010,5700,8470
250173641021,23640,345,1310,1395,3660,1975,3210,5600,-,6145
250173652011,35070,455,900,935,2080,1500,3480,5065,8680,11975
250173652021,20150,455,525,2830,1560,-,2190,2020,5930,4635
250173662011,51810,190,1150,810,1960,2175,4865,5005,11140,24510
250173672003,18095,500,1040,825,1320,2950,2850,2950,1675,3990
250173681012,42255,505,1550,3630,3140,2250,8880,7015,5945,9340
250173681021,32770,275,1460,3435,4460,3950,6180,4250,7500,1260
250173681022,24080,180,1105,2160,4100,2190,3990,1400,3725,5230
250173684002,23480,3125,3515,3610,1780,1070,2280,1535,2830,3730
250173687001,18960,650,910,2220,3200,1730,1680,2480,3770,2320
250173689011,20945,1215,2900,2050,900,665,2850,2010,3415,4935
250173689021,38175,880,1995,4260,3960,1425,7860,5715,6120,5960
250173690001,17915,195,960,840,1920,1215,2040,2120,5620,3005
250173691001,7915,100,400,510,1500,-,1110,960,1255,2080
250173691004,29160,410,990,2505,2420,1400,7260,5560,3155,5460
250173691005,19605,215,810,795,680,1155,3840,5425,3145,3540
250173701013,29255,140,600,1020,3900,1850,7530,2805,6750,4665
250173701024,34880,385,900,2300,2800,1200,7530,3945,7235,8590
250173702011,19590,450,280,390,1660,1175,5100,2215,5625,2695
250173702012,21690,225,1120,615,1000,2365,5580,2415,3965,4405
250173702021,17320,440,885,660,1800,600,1680,3215,3870,4170
250173702024,20285,990,590,885,1360,900,6120,1600,4600,3240
250173704002,26665,215,1000,2385,960,1850,4020,2555,8340,5340
250173732004,26035,600,2010,2070,3090,2500,4920,2895,3690,4260
250173733003,19310,285,735,2055,1290,2590,3330,1485,3655,3880
250173734001,29510,205,1080,1515,2380,3275,5610,5290,5075,5075
250173734002,21650,285,440,1050,3060,1550,2880,1545,6400,4440
250173735004,25075,480,950,2495,3380,2135,5010,4160,2505,3960
250173736001,18290,780,1905,1890,2300,1350,2400,1690,3995,1980
250173736002,14880,970,2450,1200,1920,1525,1890,1100,1350,2475
250173738001,40430,545,880,480,3070,750,10200,6700,10255,7550
250173740002,25300,1050,1300,1020,3060,1650,3780,3025,4265,6150
250173741001,30200,195,1320,2350,2355,1025,5100,7700,7040,3120
250173741003,18320,175,475,1170,1120,1200,1830,3275,3620,5460
250173742002,25320,210,735,960,1140,1550,3300,3670,6975,6780
250173742003,25175,335,880,445,980,1400,2100,3295,7100,8635
250173743003,12370,245,575,1680,1315,-,1470,3050,1035,3000
250173745002,16000,275,750,780,1220,1600,4830,2565,2475,1500
250173746001,28205,420,730,2790,640,1375,6180,4150,7055,4865
250173746003,22490,360,465,1530,1840,1200,4190,4620,4945,3340
250173747001,38330,1160,2375,1365,4130,2275,4560,6505,9685,6280
250173747002,21830,170,1050,3720,2880,1050,1350,2770,5840,3000
250173748001,16760,445,1405,1105,2320,1375,3090,2775,1745,2500
250173748002,16905,1095,1530,1710,2160,675,630,1415,3740,3950
250173748003,14140,365,1140,315,2400,1425,1980,2835,1480,2200
250173821001,22725,180,1150,1440,1920,2025,3390,3390,2080,7150
250173822001,21015,220,420,1095,480,1975,3030,3860,3510,6425
250173824003,26020,135,870,705,1200,1425,2340,1880,5685,11780
250173826023,24405,185,740,525,1060,600,1830,2780,4450,12235
250173826024,18960,355,590,465,720,825,1650,3600,5100,5655
250173831012,27420,270,1490,1080,2080,1610,1530,6105,2755,10500
250173831021,32835,460,1630,2355,1750,2195,8120,5520,5145,5655
250173831022,32965,905,2150,3900,3000,2775,5280,2900,4865,7190
250173832003,25070,220,1415,1290,800,5025,5760,2045,-,8520
250173835011,31570,510,2120,4105,2680,750,5040,2065,6295,8000
250173835013,19360,430,1060,465,1820,825,2940,1620,5655,4545
250173836003,33010,270,1900,1870,3180,2775,6180,3455,10475,2910
250173839021,44225,575,1290,3445,1640,2625,3330,5850,12895,12570
250173840011,25215,80,1850,1770,3340,675,1860,1425,4300,9915
250173840023,45680,145,1560,3735,3500,1575,7110,2300,11345,14410
250173851002,74400,940,3155,4155,5810,2700,4590,10540,16950,25560
250173852021,57015,220,640,3710,3960,2225,6680,1765,12335,25480
250173852022,56470,945,885,1905,4860,4425,6450,3900,8720,24380
250173861002,33985,280,365,390,2920,700,2160,5310,5320,16540
250173872011,56755,780,900,1905,3120,1750,2490,3740,14575,27495
250173872023,32530,85,310,2255,1140,1875,4170,3120,6985,12595
250173881001,50605,545,580,3250,1240,1720,2220,9960,8820,22260
250173881002,32315,260,445,1335,1220,750,4200,3440,3735,16930
250173883002,18895,160,730,870,1700,1550,3630,2230,2840,5185
250173883003,16115,635,2200,2430,1120,1125,1410,1520,1115,4560
250179800001,-,-,-,-,-,-,-,-,-,-
250214002002,52940,170,1150,2955,8860,5525,9570,8920,10250,5540
250214003001,17030,185,370,930,2580,1775,1860,3755,3825,1750
250214003002,26635,135,980,1650,1600,1300,6300,3895,4325,6450
250214003003,36075,160,535,2025,1440,3075,4860,7405,10485,6090
250214006002,59320,475,2725,3190,4460,2775,9420,2625,21645,12000
250214008002,37230,370,1170,1305,5880,1050,7320,6950,9705,3480
250214008003,29455,160,445,1335,3400,2150,7980,7095,4730,2160
250214009003,29005,130,1030,1960,4080,1925,3360,6710,4770,5040
250214011003,20800,345,1330,1860,1730,1500,2250,2435,4545,4805
250214012001,19640,555,755,915,2820,1075,5040,1680,2420,4380
250214021012,18030,165,460,1095,520,1975,1770,2420,8110,1510
250214021014,17235,575,1490,1725,2020,650,3060,3105,990,3620
250214021022,16805,580,1040,795,1860,875,4380,3305,3965,-
250214021024,17765,375,1360,1630,900,1925,4350,2370,3170,1680
250214022001,22600,155,340,1875,1140,1400,3660,2875,3410,7750
250214022002,20330,200,740,1335,780,600,2820,2390,5555,5910
250214023003,30625,225,365,2055,2900,2425,3630,3225,7095,8705
250214025002,24935,405,720,1805,1000,750,3930,2495,7500,6330
250214035001,30880,430,1950,3990,2140,1125,4110,4355,8840,3940
250214035003,37580,670,2090,1500,1220,2850,3090,5480,8595,12085
250214041001,20430,165,960,480,2840,1375,1890,3395,2780,6540
250214042023,15620,1155,1750,1065,1300,1280,1680,1345,3825,2220
250214043012,13100,240,430,720,520,-,2040,3020,2065,4065
250214043013,17075,180,330,-,1515,900,4170,1835,6225,1920
250214043014,16215,185,970,675,540,1550,1980,880,3555,5880
250214044005,26170,2665,3095,2650,2160,580,3540,2625,3585,5270
250214051002,41535,575,595,790,3880,1125,2310,6885,15300,10080
250214051003,19175,190,450,660,700,1500,1530,2355,9090,2700
250214061011,44440,1200,830,780,5190,2375,5250,5345,7045,16425
250214071003,33545,525,580,705,2440,1180,3660,6800,6390,11265
250214071005,30310,655,1030,1065,2800,-,2970,3080,7560,11150
250214081011,42785,320,1700,1020,2120,1775,5340,3000,3270,24240
250214081022,45905,450,560,855,1140,4525,3720,3435,11605,19610
250214091011,46345,360,1105,2235,2260,1140,3690,3375,7075,25105
250214091021,37430,450,1010,1110,1460,1375,1170,3765,6165,20925
250214091022,60105,320,1390,1775,1820,1550,2880,7940,13375,29055
250214101004,34450,730,650,2250,2960,1650,1440,5575,7935,11260
250214103001,35815,320,1010,895,1300,925,6210,3245,5280,16625
250214104005,33130,595,1140,2445,1020,2925,5100,5290,8245,6365
250214122001,26870,270,540,1255,2280,1200,6570,1450,5475,7835
250214132001,22940,590,760,810,1360,-,5010,1520,-,12890
250214132004,24470,365,2010,1425,1320,3800,2550,1270,5125,6605
250214133001,34400,575,955,1335,1800,2175,5250,3715,8580,10015
250214133003,18065,435,2090,1045,1175,1425,930,3005,5075,2880
250214134022,31015,215,995,1005,3120,830,7620,6550,5770,4905
250214134023,24420,260,890,795,620,850,2340,2010,7560,9090
250214135002,27940,565,1710,1455,2260,-,2130,2455,4005,13360
250214142002,71740,-,560,885,2160,950,7200,3020,16855,40110
250214143001,52600,345,1030,1890,3055,1350,4710,4125,13440,22650
250214151011,20345,325,290,1330,1280,1200,4260,2970,3495,5190
250214151012,60960,745,1165,2265,3560,1355,7200,5140,15445,24080
250214151022,28195,280,1050,1335,2700,-,2730,5150,8730,6220
250214152001,50325,715,1330,3585,500,750,9420,8545,12860,12620
250214153001,40265,680,365,3550,3340,1550,4200,5335,5990,15260
250214161012,41295,150,960,1800,1520,-,6060,3395,8700,18710
250214161013,37405,470,1550,1650,1440,1175,2730,4210,13180,11000
250214161021,31510,905,1780,2160,1840,1280,4950,2360,7915,8320
250214161022,16670,55,240,725,480,2175,1575,2105,3480,5835
250214173001,39625,255,615,465,840,2525,6060,4565,17245,7055
250214175021,20695,160,230,450,880,950,5670,2130,3635,6590
250214176012,27450,665,490,1620,1190,3525,4320,2975,6080,6590
250214179021,30095,615,1615,1380,1720,975,3810,3605,4190,12190
250214180031,58340,570,3300,1380,3460,2200,5070,8110,10995,23255
250214180041,45100,305,955,1125,1160,950,1500,7440,8245,23420
250214180043,35595,400,1105,2265,3260,925,5310,4085,5675,12570
250214181012,53730,880,1480,1455,4840,2450,12540,2700,7235,20150
250214181022,53635,870,1190,3080,2820,900,4260,6930,7550,26035
250214192001,46045,1000,1390,1940,1705,600,6930,5915,6770,19795
250214192004,22940,190,1130,660,2100,-,3450,2420,2430,10560
250214194003,19505,180,150,690,3530,775,4590,2965,1440,5180
250214195002,38405,285,1100,1695,2380,800,6900,1240,4465,19540
250214196004,39135,210,1070,1610,1540,1850,4200,3410,7060,18185
250214197001,33720,185,920,1185,2000,-,2580,1540,9255,16055
250214197002,36880,1150,1560,2490,2680,1375,4260,2430,5640,15295
250214201005,34065,840,760,2435,1940,2000,4860,3600,2625,15000
250214202012,58125,475,380,2505,2380,2575,7800,3895,10890,27225
250214211003,50460,255,1500,3700,2100,1625,6780,4780,5440,24285
250214221002,26605,460,725,705,2820,1225,2820,1800,6730,9320
250214221004,19255,365,500,1185,540,2275,3300,2880,1310,6900
250214223012,27995,620,1010,1350,1225,-,2730,2285,4960,13815
250214224005,55700,360,2040,1800,1440,1550,3750,2640,12430,29690
250214227001,20135,645,320,600,2440,475,1830,785,3935,9105
250214401002,36970,375,1190,3825,3660,1125,5170,8150,3970,9510
250214412021,56125,230,1730,1560,3760,2475,6570,2185,7545,30075
250214412031,41040,440,2125,1770,3220,2665,4080,6225,7125,13395
250214412032,18685,455,630,1455,2200,700,1530,1595,5245,4875
250214412041,38795,725,840,2190,2260,1625,4680,4105,4990,17375
250214412042,46280,520,870,1980,2080,1750,3275,4040,6920,24840
250214421012,37465,410,380,855,2360,900,5550,5145,6065,15800
250214421031,43770,770,1265,3030,2000,5675,2370,2965,10705,14990
250214422011,35935,415,1310,1245,1000,1075,3360,7585,7855,12090
250214422012,46700,395,1190,1485,2240,1500,4380,5000,6730,23785
250214422024,27440,270,520,630,2630,2325,2790,3910,6625,7740
250214431011,36665,765,1050,2385,3060,-,4620,2520,10415,11850
250214431012,30070,895,1490,1050,1580,1825,3690,1775,5175,12590
250214431021,42920,560,1850,1785,7520,1200,4920,1715,12480,10890
250214431022,77385,580,680,2460,3600,3775,5550,4375,13370,42995
250214561012,29395,630,370,1445,2040,1330,1740,1590,5345,14905
250214561022,46580,520,1060,525,2540,1225,2460,6185,11035,21030
250214562001,34285,450,1820,1800,2580,2075,2310,3440,4420,15390
250214562002,30635,825,1540,2610,3020,1050,5250,2550,6170,7620
250214563012,16145,145,490,1125,340,375,1500,1040,850,10280
250214564012,29195,340,350,1170,800,900,2640,2115,5715,15165
